,label,title,text
92573,2,Golden State Warriors Team Report - November 16,"(Sports Network) - The Golden State Warriors lost to the Cleveland Cavaliers, 99-88, on Monday at Gund Arena. Jason Richardson scored 27 points to lead the Warriors, who have dropped seven of their first eight games."
57763,2,Schilling Is Prized Starter for Game 1,"The first fight of the 2004 season between the New York Yankees and Boston Red Sox did not occur on a warm, pleasant April day at Fenway Park."
80205,4,Lack of cash blamed for Beagle 2 failure,"The loss of Britain 's Beagle 2 project can be traced to the Government wanting a Mars lander  ""on the cheap "", and tensions with the European Space Agency, MPs said yesterday."
93459,4,Vivendi Ups Forecast After Strong Quarter (Reuters),"Reuters - France's largest media company, Vivendi Universal, raised its 2004 earnings forecast as it reported a 19 percent increase in third-quarter underlying operating profit, buoyed by a rebound in music and strong mobile phone sales."
94272,4, 'Blog ' tops words of the year,A four-letter term that came to symbolize the difference between old and new media during this year 's presidential campaign tops US dictionary publisher Merriam-Webster 's list of the 10 words of the year.
46193,2,Souness praises fab four,Graeme Souness believes he has the best attack in the country after Alan Shearer and Patrick Kluivert dismantled Hapoel Bnei Sakhnin in Newcastle 's 5-1 UEFA Cup win in Tel Aviv.
62062,2,Today 's top matchups at a glance,Analysis: The Midshipmen have grown all too used to agonizing losses during Notre Dame 's 40-year streak. But Navy 's offense will present a unique challenge for the Irish.
39729,1,Lonely hearts grandpa finds new home as au pair,"ROME : A retired Italian teacher has found a new home after offering after-school help for a family with kids in exchange for some human warmth and affection, a newspaper reported here."
97809,1,Achievements on Humanitarian Access in Darfur  'fast falling apart ',"Renewed insecurity stops Oxfam delivering vital aid to 200,000 people in Darfur - Security in Darfur has deteriorated over the past two weeks leaving nearly 200,000 people in Darfur cut off from vital aid supplies."
59793,2,Lawyers pick at Silverstone deal,"Now the real work begins. As a July date for the British Grand Prix appeared on the provisional calendar for the 2005 Formula One season in Paris yesterday, a 21-page document landed on the "
43325,1,"Typhoon Meari Moves Over Kyushu, Flights Canceled (Update2)","Typhoon Meari, the eighth tropical cyclone to reach Japan this year, is moving over the southwestern main island of Kyushu, disrupting flights and cutting power."
11277,1,Kidnappers Say They Have Killed Italian Hostage --TV," DUBAI (Reuters) - Militants in Iraq said they have killed  Italian journalist Enzo Baldoni, who went missing after being  ambushed on the road between Baghdad and Najaf, Al Jazeera  reported Thursday."
3366,2,Greek pair jump to avoid push,The Greek sprinters Kostantinos Kenteris and Ekaterini Thanou  facing sanctions after missing drugs tests  quit the Games yesterday to avoid the humiliation of being thrown out by the IOC. 
56822,3,Australia 's Gribbles Has Received Expressions Of Interest,MELBOURNE (Dow Jones)--Australian diagnostics and pathology provider Gribbles Group Ltd. (GGL.AU) said Monday that it has received expressions of interest regarding ownership of the company.
14358,3,UOB among 10 prospective Bank Permata bidders named by Indonesian <b>...</b>,JAKARTA: The Indonesian government has identified Singapore 's United Overseas Bank as one of 10 prospective bidders for the sale of a 51 stake in PT Bank Permata.
61106,4,IBM readies new top-end Unix servers,"com October 14, 2004, 9:00 PM PT. ZDNet 's survey of IT professionals in October kept upgrading hardware at number two on the businesses radar throughout the year."
103636,4,Don 't let life fade to black,"The movie version of the popular children 's book, The Polar Express, steamed into theaters earlier this month, and kids are once again becoming entranced by the magic of the Arctic."
62235,2,Forgive and forget,The most surprising part of last night 's pre-season Raptors game was the indifference displayed by the Air Canada Centre crowd toward Vince Carter.
107989,2,Wenger Considers Petit Option,Arsenal manager Arsene Wenger says he may consider re-signing former Gunners star Emmanuel Petit. The Frenchman is currently training with the Premiership champions as he bids to find a new club.
79556,1,First female British soldier dies in Iraq,"LONDON - A military policewoman has become the first British female soldier to die in Iraq since last year 's US-led invasion but her death was believed to have been caused by a non-hostile incident, officials said on Tuesday."
29555,2,Rookie Gallery  lt; -0 will start Sunday,"That seat on the bench that Robert Gallery was keeping warm? It now belongs to Langston Walker. Oakland Raiders coach Norv Turner announced Wednesday  ""if things go "
83869,1,Hollywood actress Mia Farrow sees ravages of war in Darfur (AFP),"AFP - Award-winning American actress Mia Farrow toured a camp in Sudan's war-torn region of Darfur, expressing her shock at the threats and humiliation suffered by its inhabitants."
99691,3,Reports raise new questions on FDA oversight of drug safety,New reports accuse another drug company of being too slow to pull a dangerous medication from the market and question the ability of the federal Food and Drug Administration to protect the public from such risks.
19788,4,"EMC, Veritas Tune Mail Archiving",EMC Corp. and Veritas Software Corp. are building up their respective e-mail archiving offerings through development and acquisition to give customers more stringent control of enterprise content.
4501,3,File-Sharing Sites Found Not Liable for Infringement,A court ruled that the distributors of software used by millions of people to exchange music files over the Internet cannot be held liable for aiding copyright infringement.
98149,2,"No. 21 Oklahoma 76, Texas St. 57","Erin Higgins scored 12 points and Chelsi Welch and Casey Walker added 10 each as No. 21 Oklahoma beat Texas State 76-57 Sunday. Higgins was 4-for-7 from 3-point range, but the Sooners (2-0) got most of their scoring inside against the smaller Wildcats."
24249,2,2 All-Stars for Yanks Fall Out of Favor,"Javier Vazquez and Esteban Loaiza have been among the worst pitchers in baseball in the second half of the season, and the Baltimore Orioles battered them on Friday."
88215,4,Global Wi-Fi Access Deal Makes World Wireless,"Agreement creates instant access to 20,000 wireless hotspots in 11 countries."
23659,2,Shortstop pulled over early Friday morning,ATLANTA -- Atlanta Braves shortstop Rafael Furcal has had his first court appearance after being arrested on charges of driving under the influence.
12253,2,"Steroid rage Swift, decisive action can save baseballs image",New York Yankee Jason Giambi was outted as a cheat last week by the San Francisco Chronicle. The paper obtained federal grand jury testimony that Giambi admitted what most people already believed: hed taken 
33844,3,"Air NZ, Qantas keep alliance dream alive","Rival trans-Tasman airlines Air New Zealand and Qantas have far from abandoned their dreams of an alliance, despite it failing to clear yet another hurdle."
21785,2,National League Preview from The Sports Network,"(Sports Network) - Barry Bonds can equal two huge baseball milestones tonight. However, aside from personal achievements, the San Francisco slugger is more focused on his team 's drive to the playoffs, and "
63448,2,The beat goes on in New England,"Foxboro, Mass. -- As exciting as they are on the field, the Patriots are deathly boring off it.  ""We don 't have a bunch of clowns, "" safety Rodney Harrison said."
100188,1,Third-seed Schuettler crashes out of Chennai Open (AFP),AFP - The ATP Chennai Open tennis tournament began on a dramatic note when unfancied Frenchman Oliver Patience knocked out third-seeded Rainer Schuettler of Germany in the first round.
1842,4,"Paradoxically, African Railroad Keeps Habitat Intact","Normally, transportation routes through wilderness are frowned on by conservationists. But a newly restored railroad in Madagascar is persuading locals not to slash and burn the surrounding landscape."
61439,3,Global Markets: Worries Grip Investors," LONDON (Reuters) - New U.S. economic data on Friday did  little to answer questions about the sustainability of global  economic growth, offering a mixed picture that left markets in  a generally bearish pattern."
42074,1,Lubbers set for new Darfur talks,UN refugee commissioner Ruud Lubbers is due to meet top Sudanese officials on Tuesday to discuss what the UN calls the world 's worst humanitarian crisis.
25619,1,Update 1: China Eyes More Measures to Slow Economy,"China 's key inflation indicator remained at 5.3 percent in August, the government reported Monday, in the latest release of data suggesting economic planners might take further action to slow the booming economy."
17968,3,New Yukos warning after $2.6 bn ruling,"Yukos issued a fresh warning yesterday that it could be forced to cut output, after a court ruling allowing authorities to seize up to $2."
7828,4, Students Follow the Music to Apple Laptops,"Jefferson Graham writes for USA Today,  “Apple ’s trendy iPod digital music player, which has revitalized the company, is giving laptop sales a boost during back-to-school season. Many students, after falling in love with the iPod, are packing for college with new Apple Macintosh computers. ” Aug 23"
119234,2,Bronc's Elliss Out for Year With Bad Back (AP),AP - Broncos defensive lineman Luther Elliss will miss the rest of the season because of a herniated disc in his lower back.
92214,1,Japan Families Vent Anger At N. Korea,"The families of Japanese kidnapped decades ago by North Korean agents lashed out at the secretive communist state on Monday, saying it had lied about the fate of their loved ones."
7583,1,"'All Aboard' France's Artouste Express, France's highest-altitude train (AFP)","AFP - Eighty years ago the Artouste train in the French Pyrenees transported workers and materiel to build a dam at 2000 meters (6500 feet) altitude, but today it ferries tourists for a sometimes hair-raising ride along one of Europe's highest rail lines."
69227,1,"Sudanese opposition, government start peace talks","Sudanese opposition groups and a government delegation on Friday held the first full day of peace talks in Cairo with both sides optimistic about a deal, sources close to the negotiations told Egypt 's MENA news agency."
32476,2,WVU Gets First Win Over Terps For Coach Rod,"In one of the most exciting endings ever witnessed in Morgantown, the West Virginia Mountaineers were finally able to take out that pesky band of Terrapins from the University of Maryland, winning 19-13 in an overtime thriller at Milan Puskar Stadium."
33871,1,Video on Web Site Shows Beheading of Man,A video posted Monday on a Web site showed the beheading of a man identified as American construction contractor Eugene Armstrong.
88589,3,"Circulation Fraud Contained, Audit Group Says"," TORONTO, Nov. 11 -- The chairman of the newspaper industry's circulation-auditing body said Thursday that the organization would work to repair its image, tarnished by circulation scandals over the past year at four large U.S. newspapers."
63761,3,"3M says profits surges, fails to impress market","NEW YORK : US technology group 3M, which makes everything from sticky Post-it notes to medical products, announced a surge in profits but failed to impress the markets."
89454,2,NBA: Cavs/Raptors,_ Drew Gooden and LeBron James each scored 27 points in the Cleveland Cavaliers ' 105-to-97 win over Toronto. Zydrunas Ilgauskas (zih-DROO '-nuhs ihl-GOWS '-kuhs) had 21 points and 13 rebounds 
113476,2,LEINART 'S LANDSLIDE,It started to sink in for Matt Leinart as he shook the hands behind the stage. About two dozen past Heisman Trophy winners gathered in a ballroom here at the Hilton New York last night to welcome the newest member of their fraternity.
87699,2,Pires feels wrath of the France national coach,"IT RARELY pays for players publicly to question their coach or manager, and after criticising Raymond Domenech, the France coach, Robert Pires was yesterday dropped from the national squad to play Poland in a friendly on Wednesday."
33986,4,AOL Builds AIM Robots,America Online is launching a program this week to promote and facilitate the creation of what it calls AIM Robots for its AIM instant messaging system.
100864,2,Live: Champions League,1738: Stand-in Porto goalkeeper Nuno makes a superb reflex save from Yuri Zhirkov to stop Moscow going ahead. 1730: The first of Wednesday 's eight Champions League games kicks off with CSKA hosting current 
89654,2,Laura Diaz Leads Tournament of Champions (AP),AP - Laura Diaz is too busy trying to win the Tournament of Champions to worry about qualifying for the season-ending event.
20908,1,Pakistan's Musharraf seeks Islamic scholars' help in terror fight (AFP),AFP - Pakistan President Pervez Musharraf asked Muslim scholars to help curb extremism by isolating religious schools which harbor terrorists as Pakistani security forces arrested a suspected Al-Qaeda linked Arab militant in a raid.
97121,1,Violence Breaks Out All Over Baghdad,"Iraqis chant anti-US and anti-government slogans in front of a US tank after a car bomb exploded killing at least one person in central Baghdad Saturday, Nov. 20, 2004."
6456,2,Victor victorious led from the front,"They drank the champagne, bore smiles the width of the Vaal River and took the plaudits of a nation. And they deserved every single moment of the adulation."
52603,1,"Cambodian King Delays Return, Wants to Abdicate"," BANGKOK (Reuters) - Cambodian King Norodom Sihanouk, now  83, sick and dismayed at political infighting in his  impoverished country as it tries to recover from the ""Killing  Fields"" era, wants to give up his throne."
94665,1,Update 5: Euro Reaches New High Against US Dollar,"The US dollar fell to another new low against the euro Friday, pushing the European currency higher than $1.34 after US employment data came in weaker than expected."
14276,3,Federal-Mogul may sell T &N assets after pension offer snub,"Federal-Mogul, the engineering company whose bankruptcy in the US is threatening the pensions of thousands of workers at its subsidiary Turner  & Newall, is sizing up a sale of its UK businesses."
48456,1,Rebel Region Votes in Defiance of Georgia (Reuters),"Reuters - The breakaway Georgian region of Abkhazia defiantly voted for a new president on Sunday,\injecting further tension into relations between Georgia and its former colonial master Russia."
304,4,Fake Drug Sales Problematic in Mexico,By MARK STEVENSON      MEXICO CITY (AP) -- Mexican authorities are investigating the sale of fake or substandard medicine in a border town so popular among Americans seeking cheap medications that it has more pharmacies than streets.    U.S...
90833,2,Palmer passes Bengals to win over Redskins,"LANDOVER, Md. -- By the time Joe Gibbs finally lost his patience with Mark Brunell, Carson Palmer and the Cincinnati Bengals were already in control of the game."
3845,3,"Germany looking at Citigroup bond trading,no probe","BERLIN, Aug 19 (Reuters) - Germany 's financial watchdog said on Thursday it was looking into recent trading by US financial services group Citigroup (CN: Quote, Profile, Research) in European government bond and derivative markets, but had not started a ..."
35770,1,"Cambodia, US to take first steps towards FTA: commerce minister (AFP)","AFP - Cambodia and the United States have agreed to start negotiations that could lead to a free trade agreement after US elections this year, Commerce Minister Cham Prasidh said."
71368,3,Kimberly-Clark Posts Third-Quarter Profit (Reuters),Reuters - Kimberly-Clark Corp.  on Monday posted a higher third-quarter profit as increased tissue prices helped counter higher raw material costs.
46620,1,Some 150 Foreigners Taken Hostage in Iraq,"-Two Indonesian women, Rosidah binti Anan and Rafikan binti Aming, and two Lebanese men. Video broadcast Sept. 30 shows them being held at gunpoint by masked men and claims responsibility in the name of the Islamic Army in Iraq."
61348,1,'Ranked-Choice Voting' Debuts in Calif. (AP),"AP - In a change that could give new meaning to direct democracy, San Franciscans will soon cast ballots listing their first, second and third-place choices for municipal offices under a new ""ranked-choice voting"" system that would eliminate separate run-off elections."
88444,1,Train derailment in Philippines kills 6,"A passenger train derailed and plunged into a ravine in the northern Philippines early Friday, killing at least six people and injuring 50 others, police said."
110446,3,Dollar Starts 2005 with Slight Gains," LONDON (Reuters) - The dollar rose slightly in the first  trading session of 2005 on Monday, gaining more than a cent  from recent record lows against the euro as investor selling  paused ahead of U.S. economic data this week. However, analysts  said persistent imbalances in the U.S. economy will likely  continue to weigh on the dollar in 2005 after pushing the euro  up about 8 percent to record highs last year."
26418,2,"Well, it worked for Bill","So let me get this straight: Barry Bonds used steroids, but he didn 't inhale?***Mr. Schwarzenegger, meet your new lieutenant governor."
113034,2,Not exactly an idiotic signing,This should give pause to anyone who thought the Red Sox might be interested in toning down their image as idiots: They've signed David Wells to a two-year contract late last night.
53313,4,Report: VoIP to Top 12M Homes by 2009,"The number of US households using Voice over IP (define) will rocket from 400,000 to 12 million over the next five years, a new report from JupiterResearch predicts."
107888,3,FDA Warns Cyberonics on Manufacturing (Reuters),Reuters - Medical devices maker Cyberonics Inc.\ on Monday said it received a warning letter from the U.S. Food and Drug Administration saying the company's \response to issues involving manufacturing practices at its Houston operations has been insufficient.
112366,4,Adware War Heading to Federal Court,"Is all fair in love, war and adware? A federal court may help decide - as far as adware goes, at least - in a case involving software from one company uninstalling a rival 's computer code."
6189,1,"Pakistan foils Al-Qaeda linked plot for assassinations, attacks","ISLAMABAD : Pakistan has busted an Al-Qaeda linked plot to kill high profile civil and military officials and attack key sites including the US embassy and the military headquarters, officials said."
111897,2,McGrady Shocks Spurs,"With the Rockets seemingly headed to another tough home loss, Tracy McGrady puts them on his back by scoring 13 points in the final 35 seconds as Houston stuns the Spurs, 81-80."
75130,4,1572 AD Explosion Supports Supernova Theory,Hubble Space Telescope -- An international team of astronomers is announcing today that they have identified the probable surviving companion star to a titanic supernova explosion witnessed in the year 1572 by the great Danish astronomer Tycho Brahe and 
11053,1,Charlize Theron to Be Face of Dior Perfume,"NEW YORK - Add Christian Dior to the list of Charlize Theron fans. The company announced Thursday that the Oscar winner will be the new face of J'adore, the designer's fragrance that debuted in 2000..."
18520,2,U.S. Postal Upsets Favorites in Tour of Spain," LEON, Spain (Reuters) - U.S. Postal upset favorites Liberty  Seguros to win the 17.2-mile opening team time trial stage of  the Tour of Spain Saturday."
88121,2,Villarreal's Senna Suspended for 60 Days (AP),"AP - Villarreal's Marcos Senna has been suspended by UEFA for 60 days for failing a doping test, the Spanish club said in a statement posted on its Web site Thursday."
17195,2,Up to the Challenge,The Redskins contend that last week's debacle in the secondary against the Rams isn't a true gauge of life after Champ Bailey.
93599,1,Coup Plot Mercenaries Given Choice of Fines Or Prison,Three men who admitted violating South Africas anti-mercenary laws for their role in an failed coup in Equatorial Guinea were ordered to pay fines or go to prison today.
456,2,Iranian Will Not Meet Israeli in Olympics Due to Weight, ATHENS (Reuters) - A diplomatic wrangle of Olympic  proportions was avoided Sunday when Iranian world judo champion  Arash Miresmaeili failed to make the weight for his clash with  an Israeli opponent.
48413,3,IPO Outlook Muted (Reuters),Reuters - The U.S. IPO market's first-half revival from last year's moribund levels turned into a summer of discontent for many eager companies trying to tap the public markets.
35815,1,Twinkies Maker Seeking Ch. 11 Protection,"KANSAS CITY, Mo. - Interstate Bakeries Corp., the nation's largest wholesaler baker whose products include Twinkies and Wonder Bread, filed for Chapter 11 bankruptcy protection early Wednesday..."
45350,3,August Chip Sales Growth Slows on High Inventory,"Global semiconductor sales growth slowed to 1 percent in August as electronics makers reacted to growing inventories in Asia by limiting orders of chips, an industry trade group said on Thursday."
47884,2,Angels Snatch Title as A's Fall Apart,Anaheim scored three runs in the eighth inning off Oakland relievers to rally for a victory and clinch the American League West title.
37106,1,"Haiti Storm Death Toll Could Reach 2,000","GONAIVES, Haiti Sept. 23, 2004 - Workers dug new mass graves for corpses that still littered this flood-ravaged city Thursday as the death toll from Tropical Storm Jeanne rose to more than 1,070 and residents "
29715,4,Edward C. Baig: Personal Tech - DemoMobile provide advance look at gadgets on the go (USATODAY.com),"USATODAY.com - Sitting at the airport, you pull out a laptop or personal digital assistant and watch TV, delivered through Wi-Fi. Perhaps you'll grab an MP3 player instead, but rather than listen to downloaded tunes, you check out Internet radio. Or maybe you'll just make a call but thanks to the headset into which you are speaking, the person at the other end can make out your voice and not the blur of jet engines taking off at the same time."
18224,2,NL Wrap: Morris Shuts Out Dodgers as Cards Keep Winning," NEW YORK (Reuters) - Matt Morris pitched a two-hit shutout,  striking out a season-high 11, as the St Louis Cardinals  blanked the Los Angeles Dodgers 3-0 in a showdown between two  division leaders at Busch Stadium on Friday."
75288,2,A New-Age General Manager Helps End an Age-Old Curse,"Until Theo Epstein became the general manager of the Boston Red Sox two years ago, at 28, life had offered him little cause to believe in superstition."
117399,3,Google Wins Battle With Geico,"Unlike Overture (Yahoo!) who settled out of court with insurance company Geico, Google didn 't buckle and today won a major legal victory with a US federal court."
78084,3,Northwest Airlines Recalls 600 Attendants,"The Professional Flight Attendants Association said in a message to union members Friday that the flight attendants would  ""fill vacancies "" in the Detroit and Twin Cities bases."
33093,2,Youhana sidelined India,A magnificent unbeaten 81 from Yousuf Youhana and a devastating late cameo from Shahid Afridi made all the difference as Pakistan held their nerve to win a thrilling encounter at Edgbaston.
22808,2,Shevchenko 's goals will be crucial. (Getty Images),AC Milan begin their Serie A campaign at home to newly-promoted Livorno on Saturday evening under the weight of great expectation.
62803,1,"Iran ready to discuss nuclear issue  ""without conditions "": official","Iran on Sunday said it was ready tohold negotiations on its nuclear program  ""without any conditions "",but Tehran could not be forced to do anything, the official IRNAnews agency reported."
2462,3,Euro Stocks Slip, LONDON (Reuters) - High oil prices weighed on investor  sentiment across financial markets on Wednesday as the price of  crude stuck stubbornly close to $47 a barrel.
109510,2,Almunia feeling pressure,"Arsenal manager Arsene Wenger frankly admitted his goalkeeper, Manuel Almunia is feeling the pressure to perform after a nervous display in the Gunners Champions League win overnight."
43434,3,AmerisourceBergen to Boost Flu Vaccine,"AmerisourceBergen Corp. (ABC.N: Quote, Profile, Research) said on Monday it has signed a 10-year agreement with ID Biomedical Corp."
904,1,Canada must help raise profile of development issues in Africa: Goodale (Canadian Press),"Canadian Press - OTTAWA (CP) - Canada intends to return to the forefront on African development issues, beginning with a renewed effort at helping the troubled continent grow out of poverty, says Finance Minister Ralph Goodale."
15913,4,"For CEOs, offshoring pays","U.S. companies that send the most jobs overseas handsomely reward their CEOs, a new study says."
103792,2,There's nothing to fear but Feehan itself,"The Bourne football team has compiled five shutouts and played to a 10-1 record this season behind the mantra:  ""Respect everybody, fear nobody. "" That formula becomes harder to live by tomorrow when the Canalmen take on Eastern Athletic Conference champion Bishop Feehan in the Division 2A playoffs at 4 p.m. at Greater New Bedford Vocational High School."
62456,2,Astros Take Game 3,"Roger Clemens resuscitates the Astros' NLCS hopes with seven strong innings to lead Houston to a 5-2 win over St. Louis, cutting the Cardinals' series lead to 2-1."
64533,3,Stocks rise as oil falls from record high,"A sharp drop in oil prices gave Wall Street a small relief rally Monday, with stocks regaining ground after falling earlier in the session."
43174,3,Yen Near 6-Week Low Vs Dollar (Reuters),Reuters - The yen was cornered near a six-week low against the dollar on Wednesday as record-high oil prices dampened investors' outlook on the Japanese economy ahead of the Bank of Japan's survey on business sentiment.
95887,2,Jamal Crawford hits buzzer-beater as New York beats the Rockets 93 <b>...</b>,"Jamal Crawford had been practising crazy shots over and over again recently, preparing himself for the opportunity to make a game-winning basket."
30041,3,"US 30-, 15-year mortgage rates slip in latest week","Interest rates on US 30- and 15-year mortgages fell in the latest week amid signs that inflation is being held in check, leaving consumers more cash to spend on other items such as purchasing a home, mortgage finance "
102477,1,ASEAN officials prep for economic accord,VIENTIANE - Senior officials of the 10-member Association of Southeast Asian Nations made final preparations on Thursday for ASEAN leaders to sign at their summit here next Monday an agreement on accelerating economic integration in the region.
65846,3,Kodak Profits on Discontinued Operations," NEW YORK (Reuters) - Eastman Kodak Co. <A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=EK.N target=/stocks/quickinfo/fullquote"">EK.N</A>, the world's  top maker of photographic film, on Wednesday said its third  quarter profit rose, boosted by discontinued operations. Sales  were boosted by the weaker dollar and its key growth area of  digital photography."
93996,3,No Jamboree for Gymboree,The company's latest earnings met analysts' estimates but uncertainty still lingers.
