,label,text
4723,0,A mile to work was run by him.
4535,1,Have you anything to share with the group?
2260,1,Martha slowly descended the stairs.
4098,1,We are aware of the existing problems.
306,0,Those are the folks that you just solve this problem and you'll be able to put them on ice.
3744,1,Is this teacher a genius?
4443,1,He will have been seeing his children.
7600,0,The picture of Bill she slept.
1765,1,The sofa was longer than the desk was.
2261,1,Jill met Sarah.
6563,1,I wonder who Bill saw and Mary liked.
287,1,"The sooner you solve this problem, the more easily you'll satisfy the folks up at corporate headquarters."
6638,1,Into the room sauntered Jeeves.
6411,1,The President thanked any soldier who had fought in the Gulf.
1513,0,That he ever went there alone is certain.
6377,0,"Often, any lion is majestic."
7411,1,Her little sister will disagree with her.
5407,1,He was hoping for too much.
1382,1,"My sister arrived at a time when no buses were running, and my brother arrived at a time when no buses were running too."
5174,1,Every girl who saw anything was happy.
6094,1,Are you always thinking dirty thoughts?
2843,0,Carrie touched the stick through.
7090,1,"Some people go by car, but others by bike."
1090,1,Do you know the boy whom Mary saw?
937,1,"Although he likes cabbage too, Fred likes eggplants."
5565,0,Mary has more than Bill has friends enemies.
6266,1,The boys don't all want to leave.
6552,0,The man who Mary loves and Sally hates George computed my tax.
2930,1,Martha carved a toy out of the piece of wood.
2902,1,I detached the handle.
7379,1,I saw only the student.
5344,1,Mary is taller than six feet.
6803,1,Fiona persuaded Arthur to bake a cake.
4893,1,Jack is the person whom Jenny fell in love with.
859,0,"I remember John being discussed, but you recall Sally being."
7852,0,I ordered there to be three books on the subject.
194,0,"The more people you say that will buy tickets, the happier I'll be."
6264,1,Robert knew that it was necessary to behave himself.
547,1,The child became a man.
161,1,"The more she looked at pictures, the angrier Mary got."
2436,1,The police kept tabs on the suspect.
8482,1,Who did you hear an oration about?
6604,1,"John hummed, and Mary sang, the same tune."
3229,0,The Romans destroyed the city into a ruin.
1163,1,Tom drives like that man.
3066,1,Ellen talked.
5307,0,1 put the book after the party on the table.
2538,0,I put the book from Edna.
8410,1,I expected there to be a problem.
5448,1,He's a reliable enough man.
7752,0,Dante accused
3492,1,The students drank too much beer last night.
5954,1,I ordered John to drink his beer.
8440,0,The picture of no one hung upon any wall.
3644,0,the whistle tune was beautiful.
3681,1,John suddenly put off the customers.
5937,1,The horse was ridden.
5268,1,John whined that he was hungry.
2840,0,Carrie touched the stick against the cat.
2839,1,Carrie touched the cat.
7601,0,She slept the picture of Bill.
4052,1,Joe hoped to find a solution.
1949,0,I didn't eat any ice cream or Mary's cake.
7070,1,You and I may incriminate ourselves.
1889,0,John's quilt's upper right-hand corner has a hole.
5272,0,It proves that John is the murderer that he has blood on his hands.
1279,0,The tall nurse who Tony has a Fiat and yearns for is cruel to him.
7465,0,Should not Mary taste the soup?
50,1,The dog barked its way out of the room.
3162,1,My heart is pounding.
8175,0,Did that Medea killed her children upset Jason?
4224,1,Both will wear carnations.
1857,1,"Us, we'll go together."
6403,1,Every woman standing under that tree is Mary's friend.
288,1,This is the sort of problem which the sooner you solve the more easily you'll satisfy the folks up at corporate headquarters.
2894,1,I separated the egg yolks and the egg whites.
436,1,Mickey looked up the reference.
8050,1,The reading of Shakespeare satisfied me
3090,1,Ellen warned against skating on thin ice.
5240,1,I'm sure he speaks to me!
2559,0,I funneled the mixture to Rina.
5205,1,Is there anything I can do for you?
853,1,"John wants to go on vacation, but he doesn't know when to."
3149,1,Sharon flinched at the sight of the accident.
7094,1,"John gave the books to Mary at Christmas, and the records to Sue for her birthday."
2817,0,Flies swat easily.
3634,1,If John can speak French fluently – which we all know he can – we will have no problems.
3006,1,Dorothy needs her skills.
6802,1,Arthur tried to bake a cake.
2062,1,The water melted to ice.
1207,0,Who does Phineas know a girl behind?
1611,1,Why can't the man who usually cuts the grass do so today?
1168,1,John is taller than that man is.
3058,1,They whispered that the winner would be announced tonight.
1948,0,I didn't eat the cake or any ice cream.
6188,0,How do you wonder what John bought?
7894,0,No reading Shakespeare satisfied me
990,1,The testing of such drugs on oneself is too risky.
647,0,Dry the baby with the cloth torn.
550,1,It struck John that it was so.
4867,0,They investigated.
3645,0,the easily student finished his homework.
4221,0,A variety of styles have been in vogue for the last year.
3815,1,She disappeared when the main party arrived.
6140,0,The book was been given by Bill by Sue.
2980,1,I saw the Mona Lisa.
6050,0,Heidi investigated to eat the cauliflower.
7774,0,Genie intoned the mirror.
724,0,The room was left angry by Mary.
3532,0,They have no went.
1824,0,"I acknowledged that my father, he was tight as an owl."
3799,1,That John passed surprised her.
4527,0,"They can't do it, can he?"
4815,0,I am not certain about if he will go or not.
8204,1,John saw Stephan
2807,0,Paula swatted the cloth against the fly.
727,0,Bill is resembled by John.
2679,1,The books slid across the table.
4869,1,The video which you recommended was really terrific.
1660,1,"Fluffy is sick, which I believe that few people realize."
4778,1,Who can put the book in the box?
4808,1,I don't know whether I should agree.
2431,1,The cook sliced the mushrooms.
5818,1,The bright green filing cabinet was filled to the brim with the most boring articles from a prestigious journal of linguistics with a moderately large readership.
6228,1,Susan sent the package to Heidi.
4745,1,What can the child read?
8184,1,The librarian likes books.
3973,0,Oliver ascribed his longevity there.
8181,0,Peter is owners of pigs.
1366,0,The boy's we elected guardian's employer president.
4930,1,the person I met is from Boston.
6458,0,We have many graduate students but this year the graduate director met with any student in the graduate program individually to discuss their progress.
2299,1,He turned from a prince into a frog.
6198,0,What did you eat some popcorn and drink?
4476,1,Don't be silly!
3526,1,He treats John very.
991,0,This drug's testing on oneself is too risky.
6037,1,Fiona must not eat the sauteed candy canes.
4159,0,Fifteen years represent a long period of his life.
957,1,"A lot of this material can be presented in a fairly informal and accessible fashion, and often I do."
7513,1,The TA who graded him says that John did really well.
893,0,"I will, if I can work on it."
7079,1,The students and Professor Swansong are meeting in the park.
5468,1,She writes clearly enough.
5462,1,I have six too many marbles.
6528,1,Who do you regret that you saw?
2774,1,Steve tossed the ball from the tree to the gate.
3201,1,A magnificent diamond sparkled on his finger.
2351,1,I stalked game in the woods.
5346,1,Mary is shorter than five feet.
2278,0,The thief stole the museum of the painting.
926,0,Truman told the story Bob.
4916,0,the student that's turn it was left.
6762,0,"When in came Aunt Norris, Fanny stopped talking."
120,0,"The harder it rains, how much faster that do you run?"
7273,1,The paper cuts easily.
3297,1,All through the mountains raged a fire.
33,1,Bill bled on the floor.
8021,1,Moya said she liked football.
6181,0,"The man, who I think might be drunk, that is escaping hit me."
3362,1,A dog lay in the comer.
6219,1,The cost of bagels that are imported from Iceland surprised the teacher who Mike hired last week.
8124,0,He can can go
6736,1,Sir Walter Elliott imagined the scene.
2833,1,The old and new carts banged together.
1442,0,Is whether he played the piano known?
3595,0,The students looked the high stairs up.
5258,0,Would not the men enjoy that?
1220,1,That gangsters had bribed him was denied by the sheriff.
2112,0,The old dog died halfway.
7485,1,He will not endorse the treaty; and indeed.
6303,1,Calvin will strike himself and Otto will strike himself too.
1851,1,"They can't stand each other, him and her."
6811,1,Jane and Elizabeth were both at home.
3549,1,He treats John very nicely.
7825,1,Every vampire slept.
1886,0,That barn has seven pine trees behind the cow.
484,1,John strived to be successful.
5019,0,The child is impossible to teach him.
6729,1,I am delighted at the idea they might demolish the Appleton Tower.
2289,1,David constructed a house out of.
4982,1,The man on whose lap the puppet is sitting is ventriloquist.
2253,0,Monica moved at the cat.
2500,0,The silversmith pounded on the metal flat.
5967,1,I had eaten the deep fried muffins.
5030,0,Kim is eager to recommend.
6504,1,Any cat doesn't like mice.
3517,1,He washed us.
7923,1,They brought the hat to the teacher
5004,0,To please John is eager.
4974,1,Students enter high-level educational institutions might face many problems relating to study habits.
630,1,Spray the whole wall with the paint.
7470,0,Henri arrived Bill.
477,1,Did you believe him to ever have made an effort to talk to the student?
2065,1,She fell in love.
5472,1,Fido is a smarter dog than Spot.
523,1,The stone knocked the pole into the road.
769,1,We love them.
5486,1,It was so awful a picture that I tore it up.
7419,1,John carefully studies Russian.
5534,1,"The table is long, and the door's wide."
789,1,John's plan to go abroad is nice.
3559,0,My these jobs are in jeopardy.
7631,1,John considers several people sick.
3068,1,Ellen talked with Helen about the problem.
4076,1,Tom is confident that the elephants respect him.
5427,1,John is the kind of a fool that I told you about.
7006,0,The irritating and a bully man was my brother.
4006,0,The monkeys kept forgotten their lines.
6068,1,Rory will eat the muffins.
6643,1,Cakes were given to Margaret every Friday by the pupils in this maths class.
486,1,John expected to win.
2395,1,David broke the window with a hammer.
5587,1,Doug blew up the building.
8339,0,Has that we have arrived back at our starting point proved that the world is round?
6495,1,"If anybody comes, he rings the doorbell."
6598,0,"John told, and Harry showed, Seymour that Sally was a virgin."
6286,1,That kind of behavior annoys me.
1394,1,One plan which I got wind of was calculated to keep us in suspense.
3885,1,be eager to leave the meeting.
5765,0,Herself hit Heidi on the head with a zucchini.
4971,1,What did he get the impression that the problem really was?
7196,1,It is after class that John wants to look at your notes.
7475,1,"Elmer finished the cake and John did too, finish the cake."
5519,0,I've never seen the taller man than my father.
7034,1,They found pictures of themselves.
7503,1,We wonder if Bill left.
7867,1,I didn't see him ever.
6084,1,The tuna must have been eaten.
3019,1,I was hunting game.
4369,1,We persuaded them to examine themselves.
4185,1,I am fond of him.
5402,1,What his father wants him to be is more of a man.
6558,1,John saw more horses than Bill saw cows or Pete talked to cats.
2660,0,Pat cured of pneumonia.
5637,1,Where do you guys live at?
3800,1,To finish this work on time is almost unexpected.
3188,0,She always clad herself in black.
2259,0,The spaceship revolves the earth.
6178,1,I know I bought the book that you recommended.
8290,1,He walked up the hill.
2671,0,Nora sent at the book to Peter.
7937,1,It's under the bed that's the best place to hide
4615,1,John has been taken to the library.
7635,1,Bill is sick.
5821,1,The hat of the man standing over there impressed me greatly.
1735,1,"They said that Tom would pay up, and pay up he will."
1022,1,Who admires what?
2899,1,I broke twigs off those branches.
1931,0,Bill didn't confirm that Roger had eaten anything.
1341,1,"The dumplings which Sasha is gobbling down faster than I can reheat the meatballs are extremely tasty, if I do say so."
6230,1,I bought some flowers for Manuel.
6577,1,"John, to who and to whose friends that letter was addressed, is a fool."
7620,1,"Rodney was eating some squid, wasn't he?"
7350,0,I handed.
3674,1,His friend kicked a ball.
6770,0,"We realised that Dr Jones died because he ate too much rich food, didn't he?"
5988,1,Calvin did not do a back flip.
4882,1,We will invite volunteers on whom to work.
1039,1,Exactly half of the students attended some seminar.
3497,0,"Despite of his limited educational opportunities, Abraham Lincoln became one of the greatest intellectuals in the world."
2816,1,Paula swatted flies.
8218,1,I have eaten my hat already
5379,1,Jack is more tall than thin.
632,1,What John did to the whole wall was paint it.
5652,1,Tucson is a great place to live.
7360,1,This project is manageable.
5946,1,I ate.
6034,0,John must not do have eaten.
6709,1,A piano was given to Jane Fairfax by Frank Churchill.
3664,1,They stayed in the hotel.
6610,1,With which club did you hit the winning putt?
3513,0,He washed herself.
3392,1,They rowed along the canals of Venice.
2422,1,This silver polishes itself.
7760,1,It was for Jenny that I intended to be present.
5464,1,I have six more of them.
6795,0,Henry wanted to possibly marry Fanny.
7897,0,Moya played football with her
4855,0,John was wondering to whom he was referring to.
5748,1,Gilgamesh cut the steak with a knife.
1062,1,Which pictures of him did Earl see?
8032,1,No one expected Agamemnon to to win
5527,1,The table is longer than the door is wide.
3888,1,Tom offered advice to his students in his office.
825,1,I remembered him having kissed Mary.
3181,0,She always wore herself.
5254,1,The men would have been all working.
7214,1,John told us that he wants to quit school.
7238,1,I doubt that Mary reads mysteries.
4675,1,The scandal was talked about for days.
1032,1,Exactly two boys kissed some girl.
6209,1,Can you find the light bulb store?
7486,1,John thinks that Bill left.
4408,0,John stopped can to sign in tune.
6747,1,"In spite of his dislike of Mrs Bennet, Mr D'Arcy married Elizabeth."
8414,0,The doctor arrived a new actor.
1322,1,What exploded when?
1434,1,The piano which I disliked the boy's playing loudly was badly out of tune.
5257,1,The men would not enjoy that.
877,1,"John didn't hit a home run, but I know a woman who did."
3611,1,John saw the man with a telescope.
6489,1,John liked anything that was placed before him.
634,0,What the stone did to the wall was hit it.
6462,0,Paul has interviewed any student who was at the scene of the crime and Kate has interviewed them too.
7853,1,Truman punched Johnson
6912,1,Captain Oates died in order to save his comrades.
3737,0,The tornadoes that tear through this county every spring is more than just a nuisance.
1979,1,The man who I gave John a picture of was bald.
3675,1,Bill claims John believes Mary thinks Tom is honest.
4637,1,The car was being driven.
2497,0,The flower bloomed its way to a prize.
8270,1,It seems that Agamemnon left.
301,0,"I finally worked up enough courage to ask which people up at corporate headquarters the sooner I solve this problem, the quicker I'll get free of."
1271,0,The plumber who the nurse polished her trombone and computed my tax was a hefty fellow.
6743,1,The commuters travelled by army lorry because of the strike.
6824,1,The cup was broken by Louise.
4058,1,She pinched his arm as hard as she could.
3777,1,This map is what he wants.
163,1,Mary gets depressed and she listens to the Grateful Dead.
5536,1,"I'm sad, more than I'm angry."
4339,1,John wants it to be clear to Ben that the city plans to honor him.
8294,1,Aphrodite said he freed the animals and free the animals he did
7902,1,Which book about Ulysses did you say that you would read?
24,1,Harry coughed himself into a fit.
2466,1,In the church sang a choir.
7400,1,They are special.
4690,0,Loren was relied on by Pavarotti and Hepburn on by Bond.
1803,1,The socks are ready for you to try them and the shoes on.
7527,1,each of the girls likes herself.
8467,1,Under the bed is the best place to hide
4210,1,All special rights of voting in the election were abolished.
3836,1,John resembles his mother.
6964,1,Emma and Harriet were attacked by those bandits.
8025,0,The fig chuckled
1110,1,I ran an old man down.
4580,1,"Sandy will read your reports, but Harold will not."
5600,1,"Dave, Dan, Erin, and Alina left."
2348,0,Melissa searched a clue in the papers.
536,0,Fruit dropped from the tree from the clouds.
4887,0,the paper to finish by tomorrow is too long.
3419,0,The phone company billed $10 as me.
795,1,Mary intended to go abroad.
1628,1,How brave they must believe that you are!
3696,1,I am anxious that you should arrive on time.
5440,1,He's too reliable a man.
3294,1,A fire raged in the mountains.
2757,1,Gwen exchanged the dress for Mary.
4065,1,That John coughed bothers me.
3051,1,Susan whispered to Rachel.
2786,1,Steve pelted Anna.
6018,1,Sylvia could be slapping Jeff upside the head in martial arts class.
910,1,"I know which book Max read, and which book Oscar didn't."
7274,1,That he won the race could surprise them.
1230,1,I took a snooze.
6083,1,Calvin had been eating.
3385,1,There jumped out of the box a little white rabbit.
8333,0,He walked the hill up.
4649,1,"Yesterday, the child really kicked a monkey in the street."
2270,1,Jack sprayed paint on the wall.
985,0,The ship sank to collect the insurance.
3359,0,The lecture squirmed Sylvia.
23,0,We yelled Harry hoarse.
7550,1,The students are proud of themselves.
2086,1,"I taught them English for an entire year, but they don't seem to have learned."
6612,0,The Ethel was sitting at her desk.
3533,0,They have no old.
8079,1,Gilgamesh has never flown a dragon.
1097,1,He will put the chair between some table and some sofa.
566,1,The terrorist escaped the prison cell.
1116,1,He threw the letter into the wastebasket.
3823,1,Mary received an award from the department.
3565,1,I am anxious for you to study English grammar hard.
6028,1,The cake was eaten.
1592,0,"Harry thinks so, although no one else thinks Sally is innocent."
7943,1,These ones are to be smuggled from Hungary.
7571,1,The mayor of John's hometown wrote to him.
2750,1,Carmen obtained a spare part from Diana.
1391,0,To whom is she trying to make up now?
1187,1,"I'll talk to John on Friday about the report that the shooting of the prisoners shocked me, and to his wife on Saturday."
903,1,Lilly should buy salmon and Mary should too.
2753,1,$50 won't even purchase a dress at Bloomingdale's.
2243,1,Paula hit at the fence.
4380,1,"You should leave, shouldn't you?"
7570,0,No one's mother saw himself.
4969,1,Did John wonder who would win the game?
6697,1,Mr Knightley suggested that thieves would break into Hartfield.
6757,1,We were wondering who did you meet at the conference.
8509,1,Look at all these books. Which book would you like?
7146,1,Can Mary win the race and will Sue win the race too?
7655,1,John promise Mary to control himself.
6369,1,You must pick a flower.
1926,1,Bill confirmed that Roger has eaten the cake.
4012,0,John made Mary cooking Korean food.
7978,1,The analysis of Lucy took longer than that of Gomez.
1568,1,. I figured it out that she was lying.
6326,1,The army's destruction of the palace was a tragedy.
65,0,Bill floated into the cave for hours.
879,0,You shouldn't have played with rifles because to have is dangerous.
5482,1,It was as awful a picture as it first seemed.
6433,1,Mary talks to any student.
2971,0,The president declared Smith to press secretary.
2494,1,The boy pushed his way through the crowd.
4561,1,Tagalog is spoken in the Philippines.
572,1,The tub filled with water.
5974,1,Jeff must not have eaten the deep fried muffin.
672,1,"Sue moved, and Mary also transferred, her business to a different location."
7382,1,I saw the brilliant student.
4362,1,Pat promised Leslie to be aggressive.
5068,1,I owe it to you that the jury acquitted me.
678,1,Mary plays the violin beautifully.
1615,1,"I lost a Japanese slide rule, and the fact that Peter now has one I regard with suspicion."
4902,0,The problem intrigued us bothered me.
5880,1,Lorenzo saw the eclipse.
2470,1,Sarah smiled.
8492,1,We believed him to be omnipotent
5655,1,Wendy's mother country is Iceland.
7073,1,You British or you Americans will get yourselves in trouble.
954,0,"David is a great artist, and when he does, his eyes squint at you."
7941,1,There was a dragon in the cave.
3159,1,My eyes are itching me.
415,1,John believes that he is sick.
8049,0,Aphrodite quickly may free the animals
4463,1,It may rain.
4626,1,They believe there to be a dragon in the wood.
5889,1,Bob gave Steve the syntax assignment.
7087,1,"Kim likes Sandy, and Lee Leslie. to try to go to Rome."
2352,0,We investigated for bombs in the area.
7658,1,John seems to sleep all day.
3585,1,She thought it was easy for everyone to fit into the car.
8271,1,Those monkeys are eating the banana.
2390,0,The captain named the ship as Seafarer.
8195,1,Jason persuaded Medea that she should desert her family
830,0,I enjoy him taking a bath.
4834,1,Why have you borrowed my pencil?
7724,1,I might have eaten some seaweed.
6531,1,Who do you think saw you?
4069,1,For John to train his horse would be desirable.
4760,1,We talked about the fact that he was sick for days.
5918,1,Spot ate a cat treat.
6968,1,The fans were deliberately provoked by a rival group.
7030,0,Kim beating his dog and alienates cats.
2965,0,Conflict engenders.
2092,1,"Lewis shipped Sam a bicycle, but it never arrived."
4715,1,They paid a lot of attention to the matter.
433,1,I explained how we should fix the sink.
6366,0,Any lion is usually majestic.
122,1,"The harder it rains, how much faster a flow do you see in the river?"
5416,1,"I'm as much of a man as you are, my dear."
5787,1,the book of poems by Robert Burns with a red cover from Blackwell takes a very long time to read.
2439,1,This bed was slept in by George Washington.
325,1,"Louise is unhappy, isn't she?"
3753,1,The child broke the teapot by accident.
125,1,"As it rains harder, how much faster a flow appears in the river?"
3665,1,The fly fell into the soup.
2271,1,Jack sprayed the wall with paint.
2924,1,Smith was scribbling his notes.
5180,1,Almost no lawyer could answer that question.
7960,1,Julie filed letters to herself.
7847,1,Odysseus planned to hear the sirens.
8106,1,No one expected him to to win.
3314,0,The magician echoed the music.
411,0,A man to be in the garden is unlikely.
7794,1,Gilgamesh has been fighting the dragon.
2237,1,They pushed their way through the crowd.
2845,1,Carrie touched him on the shoulder.
2682,1,Nora brought the book to the meeting.
1868,1,Didn't that guy who the Game Warden and him had seen a flying saucer crack up?
8107,1,"He'll no can do it, can he?"
7538,1,Mary noticed that John excessively appreciates himself.
5280,0,How difficult to study for the exam was it?
4191,1,It is a wooden desk.
1905,1,There was a yellow collar on the dog which the car injured.
75,1,Sam cut himself free.
2540,1,I put books on the table.
1400,1,The only offer of which I plan to take advantage will give me an eleven month paid vacation.
6740,1,"When Lydia went to Brighton, she eloped with Wickham."
8008,1,Cassandra has foretold disaster again.
7260,1,I run on the beach.
4786,1,John asks whose book his son likes.
1753,0,"The more contented I laughed at the nurse who thought that we were becoming, the more angry we grew at the doctors."
6590,1,People are said to do crazier things at higher speeds there by Dorothy than they are by other people.
3649,1,The monkeys approved of their leader.
8530,0,Constant reading Shakespeare satisfied me
1486,1,"Ann is going to send a picture of Chairman Mao to her teacher, as soon as she gets home."
8197,1,Every reading of Shakespeare satisfied me
4957,1,"The knife, which he threw into the sea had a gold handle."
3438,1,The man kicked the ball.
5266,1,It is obvious that John is a fool.
7861,1,It was claimed by everyone that the poison was neutralised
6844,1,Who did John send a book to?
540,1,The tree changed from a maple into an oak.
4501,1,Lee will never leave.
8480,1,Medea wondered if the potion was ready
6696,1,Emma gave bad advice to Harriet.
159,1,Mary gets depressed if she listens to the Grateful Dead.
